BroodYear,Site,MSAdj
2008,SiletzMill,0.05719121900000002
2008,West Fork Smith,0.03602803400000001
2008,Winchester Creek,0.036977433000000025
2008,YaquinaMill,0.4032250339999999
2009,Cascade,0.070492655
2009,NF Nehalem Total,0.02191759000000001
2009,SiletzMill,0.034179111000000005
2009,West Fork Smith,0.018927891000000002
2009,Winchester Creek,0.04993613700000001
2009,YaquinaMill,0.23854354600000002
2010,Cascade,0.025514955000000002
2010,NF Nehalem Total,0.03711951900000001
2010,SiletzMill,0.03223182600000002
2010,West Fork Smith,0.05046863600000001
2010,Winchester Creek,0.03278364790116509
2010,YaquinaMill,0.122626492
2011,Cascade,0.108279175
2011,NF Nehalem Total,0.24562661600000005
2011,SiletzMill,0.12486880500000001
2011,West Fork Smith,0.13867213499999997
2011,Winchester Creek,0.07210619199999999
2011,YaquinaMill,0.2945377269999999
2012,Cascade,0.017466264999999998
2012,NF Nehalem Total,0.041115290000000006
2012,SiletzMill,0.022067393
2012,West Fork Smith,0.019654627999999993
2012,Winchester Creek,0.013022274999999995
2012,YaquinaMill,0.039080738
2013,Cascade,0.033166454000000005
2013,NF Nehalem Total,0.048858413000000024
2013,SiletzMill,0.04887573899999997
2013,West Fork Smith,0.025070448000000016
2013,Winchester Creek,0.005097337000000001
2013,YaquinaMill,0.1799653249999999
2014,Cascade,0.043890330000000005
2014,NF Nehalem Total,0.0618769889011454
2014,SiletzMill,0.04834639199999999
2014,West Fork Smith,0.042556512000000005
2014,Winchester Creek,0.005729942999999995
2014,YaquinaMill,0.28019472200000006
2015,Cascade,0.029167976999999973
2015,NF Nehalem Total,0.06471919021591536
2015,SiletzMill,0.02312332500000003
2015,West Fork Smith,0.07384242200000006
2015,Winchester Creek,0.028320909999999998
2015,YaquinaMill,0.15842281299999997
2016,Cascade,0.028084729000000017
2016,NF Nehalem Total,0.047567129592980414
2016,SiletzMill,0.03814532399999999
2016,West Fork Smith,0.059913504000000006
2016,Winchester Creek,0.010403398000000012
2016,YaquinaMill,0.052992910000000004
2017,Cascade,0.04198073900000001
2017,NF Nehalem Total,0.06992117326898455
2017,SiletzMill,0.050262736000000016
2017,West Fork Smith,0.06837663900000002
2017,Winchester Creek,0.018904395999999973
2017,YaquinaMill,0.13561861899999997
2018,Cascade,0.09692456099999999
2018,NF Nehalem Total,0.15545136214210428
2018,SiletzMill,0.08671215599999997
2018,West Fork Smith,0.07764068400000003
2018,Winchester Creek,0.07726243699999999
2018,YaquinaMill,0.621920428
2019,Cascade,0.09444953000000002
2019,NF Nehalem Total,0.06590132559254851
2019,SiletzMill,0.10041307499999995
2019,West Fork Smith,0.04406618799999999
2019,Winchester Creek,0.005401738000000001
2019,YaquinaMill,0.10718329299999999
2020,Cascade,0.07181195900000001
2020,NF Nehalem Total,0.08984396479003283
2020,SiletzMill,0.089879929
2020,West Fork Smith,0.13440449399999999
2020,Winchester Creek,0.010685609999999979
2020,YaquinaMill,0.17344349499999998
2021,Cascade,0.07737387300000004
2021,NF Nehalem Total,0.08057871696809202
2021,SiletzMill,0.06530337199999998
2021,West Fork Smith,0.06934915099999998
2021,Winchester Creek,0.025881064
2021,YaquinaMill,0.101182812
